fitness_avg_pic,expression,depth,length,factor_order_in_model,sym,freq,y_train_ret_period,start_date_train,end_date_train,start_date_test,end_date_test,metric,current_time
,"TA_SAR(ta_minus_dm_14(TA_BOP(ori_ta_obv, v_rsi_24_sum, toptrader_count_lsr, v_rsi_24_sum), sarext), add(ta_dx_25(ori_ta_macd, oi_ccy, m_line), tan(ori_cmo_14)))",3,15,alpha_2460,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,ts_delta_3(ta_lr_angle_5(ts_kurt_10(sarext))),3,4,alpha_2461,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,ta_lr_slope_10(ts_max_20(ts_std_20(ta_rsi_6(cos(ts_kurt_40(ta_tema_55(v_cmo_14_obv))))))),7,8,alpha_2462,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,"ta_dema_21(ts_prod_17(ta_lr_slope_5(ts_std_20(ta_rsi_6(TA_TRANGE(sarext, tr_index, kdj_d))))))",6,9,alpha_2463,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,tan(ta_lr_intercept_20(sarext)),2,3,alpha_2464,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,ts_argrange_10(ts_min_10(v_rsi_24_obv)),2,3,alpha_2465,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,"ts_mean_return_10(ts_skew_20(ta_mfi_14(v_trix_8_obv, trades, ori_ta_obv, ts_std_20(ori_ta_obv))))",4,8,alpha_2466,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,"ta_lr_angle_5(ta_rsi_6(ta_tema_55(TS_CORR_20(ta_tsf_20(sarext), ts_lag_8(mfi_30)))))",5,8,alpha_2467,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,"ta_rocp_25(ts_lag_17(ta_minus_di_14(ts_argmax_20(ts_argmin_5(sar_index)), ta_minus_dm_25(v_trix_8_obv, ad_index), ta_cmo_14(ts_lag_8(v_rsi_24_sum)))))",5,12,alpha_2468,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,"ta_mom_25(ta_beta_20(ts_argrange_20(ts_min_10(sarext)), ta_minus_di_25(TA_HT_DCPERIOD(ta_mom_12(ma15_c)), add(ts_delta_17(ori_ta_obv), sub(close_macd, count_lsr)), ts_argmax_5(min(trades, l_ts_argmax_20)))))",5,19,alpha_2469,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,ts_argrange_10(ta_rocp_25(ts_prod_8(ta_mom_25(ad_index)))),4,5,alpha_2470,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,ta_rocp_14(ts_range_20(ta_tema_21(ta_ema_55(v_power_a)))),4,5,alpha_2471,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,ta_trix_8(ta_rocr_14(ta_trix_55(ta_mom_12(ori_ta_ad)))),4,5,alpha_2472,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,"ta_dx_14(ts_argrange_10(ts_max_20(TA_BOP(v_ts_range_5, c_ta_tsf_5, sarext, toptrader_oi_lsr))), ts_lag_3(ta_dx_25(ta_cmo_14(tanh(c)), ta_trima_55(ta_trix_21(o_ta_lr_slope_10)), tanh(ta_rocp_25(ad_real)))), ts_range_5(ta_cci_14(ta_mfi_25(sub(lgp_shortcut_illiq_6, fm20), ta_rocr_14(ori_rsi_24), ta_ema_8(o_ts_range_10), ts_argmax_10(ppo)), ta_ema_55(TS_COV_20(kdj_k, ad_real)), ta_dema_55(ta_tsf_5(cci_25)))))",5,38,alpha_2473,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,"ts_delta_8(ta_mfi_25(ta_rsi_12(ori_trix_8), l_ts_prod_8, ma55_c, v_cci_25_obv))",3,7,alpha_2474,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,"TS_CORR_40(ts_argmin_20(ts_prod_8(ta_lr_angle_10(v_rsi_6_sum))), ts_prod_3(ts_rank_10(abs(r))))",4,9,alpha_2475,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,"tan(ta_mfi_25(toptrader_oi_lsr, ori_ta_ad, ta_lr_intercept_5(o_ts_argmin_10), sarext))",3,7,alpha_2476,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,"inv(ta_rocr_25(TS_COV_40(ta_minus_dm_14(stdevrate, ori_ta_ad), ori_trix_8)))",4,7,alpha_2477,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,inv(ts_argmax_5(ta_tema_8(ts_max_5(v_trix_8_obv)))),4,5,alpha_2478,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,sqrt(ta_tsf_20(ta_rocr_25(ta_mom_12(l_ts_argmax_20)))),4,5,alpha_2479,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,"ts_lag_8(ta_rsi_6(ts_lag_8(TA_SAR(v_cci_25_obv, max(v_rsi_24_sum, l_ts_argrange_5)))))",5,8,alpha_2480,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,"ta_beta_10(ta_trix_21(ts_delta_8(ts_mean_return_5(ta_rocp_25(toptrader_oi_lsr)))), ta_trima_8(ts_argmin_10(ts_kurt_20(ts_range_10(sarext)))))",5,11,alpha_2481,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,ts_kurt_20(ta_trix_8(ta_lr_intercept_20(v_power_a))),3,4,alpha_2482,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,"ta_lr_angle_10(ta_mfi_14(v_ts_range_5, ts_argrange_20(ad_index), sarext, kdj_k))",3,7,alpha_2483,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,ta_dema_8(sarext),1,2,alpha_2484,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,"ta_mom_12(ta_beta_10(ta_trix_8(sqrt(ts_max_10(toptrader_oi_lsr))), ta_aroonosc_25(ts_kurt_20(ts_sma_8(ma15_c)), ta_atr_25(ta_minus_dm_14(ori_cmo_25, ori_trix_55), ts_skew_40(v_cmo_14_obv), ts_min_5(ta_minus_di_14(ts_min_5(ts_argmin_20(ori_ta_macd)), ts_range_10(TA_HT_DCPHASE(h_line)), ta_ema_55(ta_beta_5(h_ts_kurt_20, l_ts_argrange_5))))))))",8,28,alpha_2485,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,ts_range_10(ta_cmo_14(v_rsi_6_sum)),2,3,alpha_2486,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,ts_mean_return_10(ts_argmin_5(ts_sma_8(obv_v))),3,4,alpha_2487,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,"ta_dx_14(TA_SAR(v_cci_25_obv, v_ts_std_20), c_power_c, ta_dema_55(ta_trima_21(ts_rank_20(ta_tema_21(v_ts_day_max_20)))))",5,10,alpha_2488,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,ta_rocp_14(ta_rocp_14(ta_ema_21(ta_lr_intercept_10(v_rsi_12_obv)))),4,5,alpha_2489,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,"ts_argrange_20(TS_CORR_20(ts_sma_21(ta_minus_dm_14(TA_SAR(mfi_30, toptrader_oi_lsr), TS_COV_20(m_line, ta_lr_slope_20(v_sar_obv)))), ta_dema_55(TS_COV_20(ts_wma_8(c_ts_argrange_10), ta_lr_slope_10(obv_v)))))",6,17,alpha_2490,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,"ta_lr_intercept_5(ta_beta_5(cci_55, sarext))",2,4,alpha_2491,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,"ta_tema_8(ta_cmo_14(ta_lr_slope_10(max(ori_trix_55, v_bop_sum))))",4,6,alpha_2492,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,"inv(ts_kurt_20(TS_COV_20(c, sarext)))",3,5,alpha_2493,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,ta_lr_slope_5(ts_max_5(ts_argmax_10(ta_ema_21(sarext)))),4,5,alpha_2494,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,"ts_skew_40(ta_rocp_14(ta_ema_21(ts_sma_8(TS_CORR_40(ma15_c, toptrader_count_lsr)))))",5,7,alpha_2495,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,"ta_tema_55(TS_CORR_40(ta_dx_25(v_bop_sum, ts_lag_3(v_rsi_6_sum), ts_range_20(v_ts_sma_21)), ts_min_5(inv(ori_ta_ad))))",4,11,alpha_2496,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,"ts_sma_21(TA_SAR(ta_trix_55(ta_cmo_25(v_cci_25_sum)), add(ta_dx_25(ori_ta_macd, oi_ccy, m_line), tan(ori_cmo_14))))",4,12,alpha_2497,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,"inv(ta_ema_21(TA_TRANGE(v_ts_range_5, c_ta_tsf_5, obv_v)))",3,6,alpha_2498,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,"ta_lr_angle_5(ts_rank_10(ts_kurt_40(ts_std_40(ta_dx_25(ta_lr_slope_5(sar_index), TA_SAR(ori_rsi_6, ma15_c), ts_kurt_40(ori_cmo_25))))))",6,12,alpha_2499,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,"ts_argrange_10(ta_cmo_14(ta_rocr_25(ta_trima_21(ta_minus_di_25(v_rsi_24_sum, ad_index, trades)))))",5,8,alpha_2500,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,"ts_wma_8(ta_trix_8(ts_wma_21(TS_CORR_20(ta_beta_20(toptrader_oi_lsr, ma25_c), ta_mom_12(l_ts_argmax_20)))))",5,9,alpha_2501,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,ts_prod_17(ta_trix_8(ts_prod_8(ts_skew_40(ta_rsi_6(toptrader_count_lsr))))),5,6,alpha_2502,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,"ts_argmax_10(ts_kurt_10(ta_dema_55(ta_willr_14(trades, v_rsi_24_sum, volume_macd))))",4,7,alpha_2503,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,"TS_CORR_40(ta_tema_55(ts_lag_3(ta_trix_55(TS_COV_40(v_ts_range_5, ad_index)))), min(ta_tema_55(cos(ta_rocp_14(ma35_c))), ts_sum_8(ts_mean_return_5(fm30))))",5,15,alpha_2504,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,"log(ta_mfi_14(ts_range_20(taker_vol_lsr), sar_index, ta_minus_di_25(l_ts_day_min_40, tanh(ta_rocr_14(sar_index)), stdevrate), v_rsi_6_obv))",5,12,alpha_2505,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,"tan(ta_rocr_14(add(tanh(sarext), elu(v_rsi_24_obv))))",4,7,alpha_2506,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,"ts_prod_8(TA_BOP(l_ts_day_min_40, vol, h, v_rsi_12_sum))",2,6,alpha_2507,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,"ta_beta_5(TS_CORR_40(ori_trix_8, v_power_a), ts_max_20(v_rsi_12_obv))",2,6,alpha_2508,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,"ta_cmo_14(ts_max_20(ta_minus_dm_25(ts_argmin_5(ts_delta_17(c_ts_day_min_40)), TS_CORR_40(ts_argrange_20(ori_ta_macd), ta_tsf_10(ta_willr_14(stdevrate, obv_v, v_cmo_14_obv))))))",6,14,alpha_2509,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,ts_skew_40(log(ts_lag_17(ta_lr_slope_20(sarext)))),4,5,alpha_2510,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,"ta_dx_14(ts_kurt_40(ts_lag_17(TS_COV_20(toptrader_count_lsr, v_bop_sum))), ta_cci_14(ta_dema_8(count_lsr), ta_mfi_14(ts_rank_5(v_cci_25_obv), ts_range_20(h_ts_argmax_5), add(l_ts_day_min_40, oi), ta_dema_55(cci_55)), ts_argmin_5(ta_dema_8(h_ts_kurt_20))), ta_lr_intercept_5(ts_wma_55(ts_sma_8(fm40))))",4,26,alpha_2511,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,"ta_beta_20(ta_rocr_25(ts_std_20(ori_ta_ad)), v_ts_range_5)",3,5,alpha_2512,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,"TS_CORR_40(ts_sum_17(ad_index), ta_tema_55(ts_sma_21(v_cci_25_obv)))",3,6,alpha_2513,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,"TS_COV_20(ta_beta_5(TS_COV_40(v_cmo_14_obv, ta_lr_angle_10(obv_v)), ta_rsi_12(ts_rank_10(h_line))), ts_lag_17(ta_dema_55(ts_kurt_40(trades))))",4,13,alpha_2514,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,"ts_kurt_10(ts_argrange_10(ts_sum_3(ta_willr_14(ta_lr_slope_5(v_power_a), ts_wma_55(tanh(c_power_c)), elu(ma15_c)))))",6,11,alpha_2515,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,"div(cos(ta_beta_5(sqrt(ts_max_5(kdj_d)), ta_tsf_20(TA_BOP(l_ts_day_min_40, sar_close, count_lsr, cci_55)))), ts_sma_55(ta_trima_55(ta_dema_8(ts_std_40(v_cmo_14_obv)))))",5,17,alpha_2516,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,"ta_beta_20(ta_ema_8(ts_lag_17(ori_ta_ad)), log(ta_rsi_6(fm20)))",3,7,alpha_2517,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,"div(ts_min_5(ta_minus_di_14(ts_min_5(ts_argmin_20(ori_ta_macd)), ts_range_10(TA_HT_DCPHASE(h_line)), ta_ema_55(ta_beta_5(h_ts_kurt_20, l_ts_argrange_5)))), ts_delta_3(ts_argmin_5(ts_sum_8(TA_BOP(o_ts_argmin_10, ori_trix_55, sar_index, c)))))",5,21,alpha_2518,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,ts_argmax_20(sin(ta_tsf_10(ta_tema_55(ts_sma_21(v_cci_25_obv))))),5,6,alpha_2519,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,"TS_CORR_20(TS_CORR_40(ts_rank_10(ta_cci_25(ts_kurt_10(stdevrate), ta_ema_21(h_ts_kurt_20), ta_lr_intercept_5(ma8_c))), ts_skew_40(ts_argmin_20(neg(cci_14)))), neg(ts_kurt_20(ta_tema_55(ts_lag_3(ori_ta_ad)))))",5,19,alpha_2520,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,"ta_mom_25(ts_skew_20(ta_mfi_14(o_ts_argmin_10, h_line, l_ts_argrange_5, sarext)))",3,7,alpha_2521,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,ts_mean_return_10(ta_tsf_5(sarext)),2,3,alpha_2522,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,"ta_dema_8(ts_argmax_5(ta_minus_dm_14(TA_HT_DCPHASE(ta_rocp_14(v_power_a)), ta_dema_8(sub(c_power_c, v_cci_25_obv)))))",5,10,alpha_2523,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,ts_skew_10(ts_prod_8(ts_min_5(tanh(c_power_c)))),4,5,alpha_2524,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,ta_rocr_25(ta_lr_slope_5(h)),2,3,alpha_2525,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,ts_max_10(ta_mom_25(ts_prod_17(vol_ccy))),3,4,alpha_2526,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,"TS_CORR_40(ts_argmin_5(ta_beta_20(TS_COV_20(ts_prod_17(v_rsi_6_obv), ta_lr_slope_20(ma25_c)), ta_mom_25(ts_std_10(volume_macd)))), ts_argmin_20(TS_COV_40(sin(ta_rocp_14(v_ts_std_20)), ts_wma_8(ta_rocr_25(v_rsi_6_sum)))))",5,19,alpha_2527,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,ts_mean_return_5(ts_sma_55(v_rsi_12_obv)),2,3,alpha_2528,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,"TS_CORR_20(ts_rank_20(sarext), ta_lr_intercept_5(h_ts_argmax_5))",2,5,alpha_2529,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,"ta_lr_angle_10(ta_mfi_14(v_ts_range_5, v_ts_sma_21, sarext, kdj_k))",2,6,alpha_2530,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,"TA_SAR(ts_prod_3(ta_beta_10(ori_ta_ad, l_ts_prod_8)), v_rsi_24_sum)",3,6,alpha_2531,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,ts_sma_21(obv_v),1,2,alpha_2532,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,"ts_argrange_5(ts_skew_20(ts_std_20(elu(TA_TRANGE(v_rsi_24_obv, sar_index, volume_macd)))))",5,8,alpha_2533,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,"ta_beta_5(min(ta_atr_14(fm40, sar_close, ori_rsi_6), ts_argmax_5(ad_index)), TS_COV_20(ts_min_10(v_rsi_24_obv), ts_prod_8(cci_25)))",3,13,alpha_2534,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,"ta_beta_5(ts_min_10(ta_beta_5(ori_rsi_24, ori_rsi_24)), ts_argmin_20(stdevrate))",3,7,alpha_2535,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,ta_mom_12(ta_lr_intercept_10(ts_range_5(v_rsi_12_obv))),3,4,alpha_2536,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,"ta_rocp_14(ts_wma_21(div(v_rsi_24_obv, v_ts_std_20)))",3,5,alpha_2537,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,"ta_rocp_14(TS_COV_40(toptrader_oi_lsr, l_ts_prod_8))",2,4,alpha_2538,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,"ts_prod_8(ta_mfi_25(v_rsi_24_sum, v_power_a, ta_dema_8(ori_ta_macd), lgp_shortcut_illiq_6))",3,7,alpha_2539,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,"TS_CORR_20(taker_vol_lsr, close_macd)",1,3,alpha_2540,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,"ts_min_5(ta_lr_slope_5(ta_willr_14(ts_lag_17(ta_lr_angle_10(count_lsr)), ta_beta_10(inv(h_ta_lr_angle_10), TS_COV_40(sar_close, obv_v)), ta_rsi_12(ts_range_20(l_line)))))",5,15,alpha_2541,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,"ta_lr_slope_5(ts_argmax_5(TS_COV_40(c_ta_tsf_5, v_power_a)))",3,5,alpha_2542,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,ta_rocr_25(ta_tema_55(abs(ts_skew_20(ts_prod_17(tr_index))))),5,6,alpha_2543,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,ta_trix_21(cos(ts_sma_55(ts_max_20(sarext)))),4,5,alpha_2544,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,"inv(log(ta_atr_25(volume_macd, fm20, c_power_c)))",3,6,alpha_2545,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,"TS_CORR_20(ta_dema_55(ts_std_20(v_power_a)), ta_beta_5(tan(ts_sma_21(ori_trix_21)), o_ts_range_10))",4,9,alpha_2546,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,"ta_rocp_25(TA_SAR(ta_beta_5(ta_dx_25(ori_ta_obv, v_ta_cmo_25, ori_trix_55), ta_willr_25(ppo, count_lsr, v_rsi_6_obv)), sub(mul(v_cmo_14_obv, h_ta_lr_angle_10), ta_tsf_5(l_ts_prod_8))))",4,17,alpha_2547,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,"ta_rocr_25(ta_mfi_14(close_macd, ori_rsi_24, v_cci_25_obv, h_ts_argmax_5))",2,6,alpha_2548,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,"TS_CORR_40(ts_argmin_20(ts_prod_8(ta_lr_angle_10(v_rsi_6_sum))), ts_prod_3(TA_SAR(ori_trix_8, ta_lr_slope_20(TA_HT_DCPERIOD(v_ts_day_max_20)))))",5,11,alpha_2549,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,"TS_CORR_20(ta_aroonosc_25(cci_14, sar_close), add(ma25_c, m_line))",2,7,alpha_2550,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,"ta_beta_10(v_ts_day_max_20, ta_tsf_10(TA_SAR(ts_mean_return_5(ts_argmin_5(stdevrate)), h)))",5,8,alpha_2551,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,"TA_SAR(ori_ta_ad, ts_std_40(ts_argrange_5(kdj_d)))",3,5,alpha_2552,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,"TS_COV_20(ts_sum_17(ts_argrange_10(ta_beta_5(volume_macd, c_power_c))), tanh(ts_min_5(ta_ema_21(sarext))))",4,10,alpha_2553,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,"min(tanh(ta_lr_intercept_20(c)), v_power_a)",3,5,alpha_2554,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,ta_rocp_25(elu(ts_range_5(v_rsi_12_obv))),3,4,alpha_2555,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,"ta_beta_20(div(ta_rocp_14(ta_ema_55(ta_lr_intercept_5(v_rsi_6_obv))), TA_HT_DCPERIOD(ts_std_40(ta_tsf_10(ppo)))), ta_lr_slope_10(ts_sum_8(ts_lag_17(ts_lag_8(sar_close)))))",5,15,alpha_2556,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,"ta_lr_angle_20(ta_rsi_6(ta_minus_di_25(ta_ema_21(ta_lr_intercept_20(ori_trix_55)), ts_argrange_10(ta_dx_14(v_trix_8_obv, sarext, o_ts_argmin_10)), ta_atr_25(ta_tsf_10(toptrader_count_lsr), ts_wma_55(ori_cmo_14), ta_mom_25(v_rsi_12_sum)))))",5,18,alpha_2557,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,"TS_CORR_20(ta_rocp_25(ta_trima_8(ts_delta_17(v_rsi_6_obv))), ta_rsi_24(ta_atr_25(ta_minus_di_14(tr_index, v_ts_std_20, fm20), ta_mom_12(toptrader_oi_lsr), ta_dema_55(fm20))))",4,15,alpha_2558,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,ts_skew_40(ts_argmin_10(ta_tsf_20(v_rsi_24_obv))),3,4,alpha_2559,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,ta_cmo_14(ts_prod_17(ta_trix_55(ts_mean_return_20(taker_vol_lsr)))),4,5,alpha_2560,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,"ta_cmo_14(ts_max_20(ta_minus_dm_25(ts_argmin_5(ts_delta_17(c_ts_day_min_40)), TS_CORR_40(ts_argrange_20(ori_ta_macd), ts_argmin_5(v_rsi_6_sum)))))",5,11,alpha_2561,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,ta_mom_25(elu(v_rsi_12_obv)),2,3,alpha_2562,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,"ta_cmo_14(min(abs(tanh(ma35_c)), ta_atr_25(ta_beta_5(taker_vol_lsr, ori_trix_21), div(ori_rsi_12, ma25_c), TA_SAR(count_lsr, ma55_c))))",4,15,alpha_2563,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,"ts_kurt_10(ts_kurt_20(ta_tsf_5(ta_atr_25(l, mfi_30, ma25_c))))",4,7,alpha_2564,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,ta_lr_intercept_10(ori_ta_obv),1,2,alpha_2565,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,"ta_trix_55(ta_minus_dm_25(tan(o_ts_range_10), taker_vol_lsr))",3,5,alpha_2566,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,"ta_mom_12(ta_beta_10(ta_trix_8(sqrt(ts_max_10(toptrader_oi_lsr))), ta_aroonosc_25(ts_kurt_20(ts_sma_8(ma15_c)), ta_atr_25(ta_minus_dm_14(ori_cmo_25, ori_trix_55), ts_skew_40(v_cmo_14_obv), ts_delta_3(cci_14)))))",5,18,alpha_2567,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,ts_rank_5(ta_tema_8(ts_range_20(v_trix_8_obv))),3,4,alpha_2568,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,"TS_CORR_20(ta_lr_slope_20(TA_SAR(ts_max_20(v_rsi_24_obv), ts_argmin_20(ad_real))), ts_mean_return_10(ts_max_10(ts_range_10(l_ts_argmax_20))))",4,11,alpha_2569,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,"ta_rocr_25(ts_skew_10(TS_COV_20(ta_cmo_14(TS_CORR_40(sarext, l_ts_argmax_20)), ts_sum_17(ta_trix_8(o_ta_lr_slope_10)))))",5,10,alpha_2570,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,"mul(ts_argrange_10(add(TA_HT_DCPHASE(ta_lr_intercept_5(ori_ta_obv)), neg(ta_dema_21(oi)))), ta_lr_angle_20(ts_kurt_20(sin(ts_max_20(l_ts_argmax_20)))))",5,14,alpha_2571,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,ta_dema_55(tan(ts_argmin_10(sarext))),3,4,alpha_2572,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,"TS_CORR_40(c_ts_sma_21, ts_rank_10(ts_argmin_20(ori_trix_55)))",3,5,alpha_2573,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
