fitness_avg_pic,expression,depth,length,factor_order_in_model,sym,freq,y_train_ret_period,start_date_train,end_date_train,start_date_test,end_date_test,metric,current_time
,"ta_cmo_25(ts_std_10(elu(ts_argrange_5(TA_SAR(TS_CORR_40(ts_min_5(ori_ta_obv), ta_lr_angle_5(toptrader_count_lsr)), l_ts_day_min_40)))))",7,11,alpha_45,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,"ts_argmax_10(ts_kurt_10(ts_sma_55(ts_prod_3(TA_SAR(h_ta_lr_angle_10, v_rsi_24_sum)))))",5,7,alpha_46,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,"ts_wma_8(ts_sum_8(TS_CORR_20(ts_skew_40(div(tan(v_cmo_14_obv), cci_14)), TS_COV_20(ts_argmin_20(ori_trix_8), ta_minus_dm_25(l_ts_argmax_20, ad_index)))))",6,14,alpha_47,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,ts_argmin_5(tanh(ts_max_10(ta_trima_55(ts_delta_3(v_rsi_24_obv))))),5,6,alpha_48,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,"ta_dx_14(ts_argmin_5(ta_minus_dm_14(ta_rsi_12(v_power_a), ta_minus_di_25(v_rsi_24_sum, ad_index, trades))), ta_trix_55(ts_sma_55(ta_aroonosc_25(ta_beta_10(toptrader_oi_lsr, close_macd), ta_dx_14(fm30, v_rsi_12_obv, o_ts_range_10)))), kdj_d)",5,20,alpha_49,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,ts_range_5(sqrt(ts_min_10(elu(sarext)))),4,5,alpha_50,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,ta_tsf_10(ts_rank_5(ta_trima_8(ts_std_40(ts_range_5(ts_prod_17(ta_lr_intercept_10(v_rsi_6_sum))))))),7,8,alpha_51,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,ts_kurt_20(ts_argmax_5(elu(ta_lr_slope_20(ad_index)))),4,5,alpha_52,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,"ts_max_20(ta_lr_intercept_20(ts_lag_17(ts_min_10(inv(ta_tema_8(TA_SAR(sar_close, o)))))))",7,9,alpha_53,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,"TA_SAR(v_cci_25_obv, v_ts_std_20)",1,3,alpha_54,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,ta_ema_55(sarext),1,2,alpha_55,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
